sequence_id,time (s),defluorination_pct,c_pfoa0_M,c_so3_0_M,c_cl_0_M,pH
0,0.0,0.0,1e-06,0.0,0,5.75
0,360.0,9.086057746,1e-06,0.0,0,5.75
0,720.0,18.17211549,1e-06,0.0,0,5.75
0,1080.0,24.9866588,1e-06,0.0,0,5.75
0,1440.0,31.80120211,1e-06,0.0,0,5.75
0,1800.0,36.34423099,1e-06,0.0,0,5.75
0,2400.0,57.92361813,1e-06,0.0,0,5.75
0,3000.0,65.87391866,1e-06,0.0,0,5.75
1,0.0,0.0,1e-06,0.002,0,6.02
1,300.0,10.22181496,1e-06,0.002,0,6.02
1,600.0,17.03635827,1e-06,0.002,0,6.02
1,900.0,23.85090158,1e-06,0.002,0,6.02
1,1200.0,28.39393046,1e-06,0.002,0,6.02
1,1500.0,35.20847377,1e-06,0.002,0,6.02
1,1800.0,46.56604595,1e-06,0.002,0,6.02
1,2400.0,59.05937535,1e-06,0.002,0,6.02
2,0.0,0.0,1e-06,0.004,0,6.205
2,240.0,31.80120211,1e-06,0.004,0,6.205
2,480.0,42.02301708,1e-06,0.004,0,6.205
2,720.0,45.43028873,1e-06,0.004,0,6.205
2,960.0,46.56604595,1e-06,0.004,0,6.205
2,1200.0,51.10907482,1e-06,0.004,0,6.205
2,1800.0,59.05937535,1e-06,0.004,0,6.205
2,2400.0,64.73816144,1e-06,0.004,0,6.205
3,0.0,0.0,1e-06,0.006,0,6.286
3,240.0,32.93695933,1e-06,0.006,0,6.286
3,480.0,43.1587743,1e-06,0.006,0,6.286
3,720.0,47.70180317,1e-06,0.006,0,6.286
3,960.0,51.10907482,1e-06,0.006,0,6.286
3,1200.0,54.51634648,1e-06,0.006,0,6.286
3,1800.0,57.92361813,1e-06,0.006,0,6.286
3,2400.0,62.46664701,1e-06,0.006,0,6.286
4,0.0,0.0,1e-06,0.008,0,6.485
4,180.0,31.80120211,1e-06,0.008,0,6.485
4,360.0,43.1587743,1e-06,0.008,0,6.485
4,540.0,42.02301708,1e-06,0.008,0,6.485
4,720.0,48.83756039,1e-06,0.008,0,6.485
4,900.0,51.10907482,1e-06,0.008,0,6.485
4,1200.0,54.51634648,1e-06,0.008,0,6.485
4,1800.0,60.19513257,1e-06,0.008,0,6.485
5,0.0,0.0,1e-06,0.01,0,6.91
5,180.0,31.80120211,1e-06,0.01,0,6.91
5,360.0,38.61574542,1e-06,0.01,0,6.91
5,540.0,44.29453151,1e-06,0.01,0,6.91
5,720.0,52.24483204,1e-06,0.01,0,6.91
5,900.0,57.92361813,1e-06,0.01,0,6.91
5,1200.0,63.60240422,1e-06,0.01,0,6.91
5,1800.0,73.82421919,1e-06,0.01,0,6.91
