sequence_id,time (s),C7F15COO-,C5F11COO-,C3F7COO-,C2F5COO-,CF3COO-,F-
1,0.00E+00,1.96E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1,450.2373534,2.57E-08,3.00E-08,1.15E-08,7.68267E-09,0,2.91895E-07
1,600.3164712,1.30E-08,3.18E-08,1.59E-08,1.23727E-08,7.49467E-09,4.37842E-07
1,900.4747068,1.43E-09,2.36E-08,1.93E-08,1.52667E-08,1.71667E-08,7.29737E-07
1,1200.632942,6.66E-10,2.06E-08,1.55E-08,1.76433E-08,2.52093E-08,2.62705E-06
1,1500.791178,3.24E-10,1.19E-08,1.14E-08,1.4606E-08,2.46983E-08,2.94613E-06
1,1800.949414,2.79E-10,6.34667E-09,7.84E-09,1.09433E-08,2.12917E-08,2.94613E-06
1,2394.879539,0.00E+00,3.42667E-09,5.47E-09,8.75467E-09,1.87333E-08,2.94613E-06
1,3001.582356,0.00E+00,1.19E-09,2.64E-09,4.64533E-09,1.65223E-08,2.94613E-06
1,3601.898827,0.00E+00,4.53E-10,1.34E-09,2.41E-09,8.85733E-09,2.94613E-06
2,0.00E+00,9.48E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,4.50E+02,1.23E-07,1.92E-07,7.60E-08,5.01E-08,3.39E-08,7.15E-06
2,6.00E+02,5.03E-08,1.77E-07,8.97E-08,6.75E-08,5.67E-08,1.14E-05
2,9.00E+02,1.18E-08,1.22E-07,9.10E-08,8.54E-08,9.54E-08,1.59E-05
2,1.20E+03,6.40E-10,8.65E-08,7.82E-08,7.19E-08,1.19E-07,1.42E-05
2,1.50E+03,5.03E-10,3.52E-08,4.95E-08,6.32E-08,1.21E-07,1.42E-05
2,1.80E+03,0.00E+00,2.01E-08,3.52E-08,5.10E-08,1.18E-07,1.42E-05
2,2.39E+03,4.05E-10,5.47E-09,1.52E-08,2.60E-08,8.99E-08,1.42E-05
2,3.00E+03,0.00E+00,9.47E-10,4.98E-09,1.01E-08,5.72E-08,1.42E-05
2,3.60E+03,0.00E+00,1.13E-09,4.51E-09,8.44E-09,4.84E-08,1.42E-05
2,4.84E+03,0.00E+00,1.33E-10,1.05E-09,1.25E-09,2.25E-08,1.42E-05
