time (s),C7F15COO-,C5F11COO-,C3F7COO-,C2F5COO-,CF3COO-,F-
0.00E+00,1.96E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
450.2373534,2.57E-08,3.00E-08,1.15E-08,7.68267E-09,0,2.91895E-07
600.3164712,1.30E-08,3.18E-08,1.59E-08,1.23727E-08,7.49467E-09,4.37842E-07
900.4747068,1.43E-09,2.36E-08,1.93E-08,1.52667E-08,1.71667E-08,7.29737E-07
1200.632942,6.66E-10,2.06E-08,1.55E-08,1.76433E-08,2.52093E-08,2.62705E-06
1500.791178,3.24E-10,1.19E-08,1.14E-08,1.4606E-08,2.46983E-08,2.94613E-06
1800.949414,2.79E-10,6.34667E-09,7.84E-09,1.09433E-08,2.12917E-08,2.94613E-06
2394.879539,0.00E+00,3.42667E-09,5.47E-09,8.75467E-09,1.87333E-08,2.94613E-06
3001.582356,0.00E+00,1.19E-09,2.64E-09,4.64533E-09,1.65223E-08,2.94613E-06
3601.898827,0.00E+00,4.53E-10,1.34E-09,2.41E-09,8.85733E-09,2.94613E-06
