Time;C7F15COO-;C5F11COO-;C3F7COO-;C2F5COO-;CF3COO-;F-;# 0.1mM_SO32_PFOA;
0.00 ;9.074690E-07;0.000000E+00;0.000000E+00;0.000000E+00;0.000000E+00;0.0000E+00;;
600.32 ;2.774472E-07;1.598865E-07;2.594081E-08;3.284818E-08;6.599181E-08;1.5335E-07;;
900.47 ;9.125861E-08;7.436580E-08;5.552618E-08;5.214045E-08;9.135584E-08;5.1323E-06;;
1800.95 ;2.849621E-09;3.807244E-08;6.825477E-08;7.984007E-08;1.957625E-07;9.2327E-06;;
2696.03 ;8.651569E-10;1.537130E-08;4.058392E-08;7.766755E-08;2.381777E-07;1.0653E-05;;
2696.03 ;7.989591E-10;4.554460E-09;1.918513E-08;4.453664E-08;1.924998E-07;1.1600E-05;;
3601.90 ;4.793754E-10;5.337258E-10;4.611809E-09;3.258778E-09;8.483042E-08;1.1718E-05;;
5424.55 ;5.192018E-10;0.000000E+00;7.958456E-10;2.548329E-09;0.000000E+00;1.5861E-05;;
7261.89 ;5.768909E-10;0.000000E+00;2.984421E-09;5.096658E-09;0.000000E+00;1.5151E-05;;
9004.75 ;0.000000E+00;0.000000E+00;0.000000E+00;0.000000E+00;0.000000E+00;1.5980E-05;;
