sequence_id,time (s),defluorination_pct,c_pfoa0_M,c_so3_0_M,c_cl_0_M,pH
1,360,9.08605774632064,1e-6,0.0,0.0,7
1,720,18.1721154926413,1e-6,0.0,0.0,7
1,1080,24.9866588023818,1e-6,0.0,0.0,7
1,1440,31.8012021121222,1e-6,0.0,0.0,7
1,1800,36.3442309852826,1e-6,0.0,0.0,7
1,2400,57.9236181327941,1e-6,0.0,0.0,7
1,3000,65.8739186608246,1e-6,0.0,0.0,7
2,300,10.2218149646107,1e-6,0.002,0.0,7
2,600,17.0363582743512,1e-6,0.002,0.0,7
2,900,23.8509015840917,1e-6,0.002,0.0,7
2,1200,28.393930457252,1e-6,0.002,0.0,7
2,1500,35.2084737669925,1e-6,0.002,0.0,7
2,1800,46.5660459498933,1e-6,0.002,0.0,7
2,2400,59.0593753510842,1e-6,0.002,0.0,7
3,240,31.8012021121222,1e-6,0.004,0.0,7
3,480,42.023017076733,1e-6,0.004,0.0,7
3,720,45.4302887316032,1e-6,0.004,0.0,7
3,960,46.5660459498933,1e-6,0.004,0.0,7
3,1200,51.1090748230536,1e-6,0.004,0.0,7
3,1800,59.0593753510842,1e-6,0.004,0.0,7
3,2400,64.7381614425346,1e-6,0.004,0.0,7
4,240,32.9369593304123,1e-6,0.006,0.0,7
4,480,43.158774295023,1e-6,0.006,0.0,7
4,720,47.7018031681834,1e-6,0.006,0.0,7
4,960,51.1090748230536,1e-6,0.006,0.0,7
4,1200,54.5163464779238,1e-6,0.006,0.0,7
4,1800,57.9236181327941,1e-6,0.006,0.0,7
4,2400,62.4666470059544,1e-6,0.006,0.0,7
5,180,31.8012021121222,1e-6,0.008,0.0,7
5,360,43.158774295023,1e-6,0.008,0.0,7
5,540,42.023017076733,1e-6,0.008,0.0,7
5,720,48.8375603864734,1e-6,0.008,0.0,7
5,900,51.1090748230536,1e-6,0.008,0.0,7
5,1200,54.5163464779238,1e-6,0.008,0.0,7
5,1800,60.1951325693742,1e-6,0.008,0.0,7
6,180,31.8012021121222,1e-6,0.010,0.0,7
6,360,38.6157454218627,1e-6,0.010,0.0,7
6,540,44.2945315133131,1e-6,0.010,0.0,7
6,720,52.2448320413437,1e-6,0.010,0.0,7
6,900,57.9236181327941,1e-6,0.010,0.0,7
6,1200,63.6024042242445,1e-6,0.010,0.0,7
6,1800,73.8242191888552,1e-6,0.010,0.0,7
