sample_idx,timestamp_iso,elapsed_s,fluoride_mgL,fluoride_M
0,2025-11-03T11:51:16,0.00,0.498046875,2.62129934e-05
1,2025-11-03T11:52:31,75.00,0.498046875,2.62129934e-05
2,2025-11-03T11:53:46,150.00,0.498046875,2.62129934e-05
3,2025-11-03T11:55:01,225.00,0.498046875,2.62129934e-05
4,2025-11-03T11:56:16,300.00,0.498046875,2.62129934e-05
5,2025-11-03T11:57:31,375.00,0.498046875,2.62129934e-05
6,2025-11-03T11:58:46,450.00,0.498046875,2.62129934e-05
7,2025-11-03T12:00:01,525.00,0.46875,2.46710526e-05
8,2025-11-03T12:01:16,600.00,0.373046875,1.96340461e-05
9,2025-11-03T12:02:31,675.00,0.125976562,6.63034539e-06
10,2025-11-03T12:03:46,750.00,0.0654296875,3.44366776e-06
11,2025-11-03T12:05:01,825.00,0.0629882812,3.3151727e-06
12,2025-11-03T12:06:16,900.00,0.0693359375,3.64925987e-06
13,2025-11-03T12:07:31,975.00,0.0659179688,3.46936678e-06
14,2025-11-03T12:08:46,1050.00,0.076171875,4.00904605e-06
15,2025-11-03T12:10:01,1125.00,0.0805664062,4.24033717e-06
16,2025-11-03T12:11:16,1200.00,0.0717773438,3.77775493e-06
17,2025-11-03T12:12:31,1275.00,0.0786132812,4.13754112e-06
18,2025-11-03T12:13:46,1350.00,0.0825195312,4.34313322e-06
19,2025-11-03T12:15:01,1425.00,0.08984375,4.72861842e-06
20,2025-11-03T12:16:16,1500.00,0.110839844,5.83367599e-06
21,2025-11-03T12:17:31,1575.00,0.0830078125,4.36883224e-06
22,2025-11-03T12:18:46,1650.00,0.0991210938,5.21689967e-06
23,2025-11-03T12:20:01,1725.00,0.102050781,5.37109375e-06
24,2025-11-03T12:21:16,1800.00,0.0874023438,4.60012336e-06
25,2025-11-03T12:22:31,1875.00,0.0791015625,4.16324013e-06
